==25585== NVPROF is profiling process 25585, command: /home/aaron/miniconda3/envs/envRDkit/bin/python -m ipykernel_launcher -f /home/aaron/.local/share/jupyter/runtime/kernel-49e6b545-dbd0-4cce-8ede-4f0ea2f51625.json
==25585== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25585== Profiling application: /home/aaron/miniconda3/envs/envRDkit/bin/python -m ipykernel_launcher -f /home/aaron/.local/share/jupyter/runtime/kernel-49e6b545-dbd0-4cce-8ede-4f0ea2f51625.json
==25585== Profiling result:
==25585== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "GeForce GTX TITAN X (0)"
    Kernel: void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1)
          8                        inst_compute_ld_st                                               Load/Store Instructions           2           2           2
          8                                 inst_misc                                                     Misc Instructions        4097        4097        4097
          8           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          8                               issue_slots                                                           Issue Slots         368         368         368
          8                                 cf_issued                                      Issued Control-Flow Instructions          34          34          34
          8                               cf_executed                                    Executed Control-Flow Instructions          34          34          34
          8                               ldst_issued                                        Issued Load/Store Instructions          66          66          66
          8                             ldst_executed                                      Executed Load/Store Instructions          66          66          66
          8                       atomic_transactions                                                   Atomic Transactions           0           0           0
          8           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          8                inst_executed_global_loads                              Warp level instructions for global loads           1           1           1
          8                 inst_executed_local_loads                               Warp level instructions for local loads           0           0           0
          8                inst_executed_shared_loads                              Warp level instructions for shared loads           0           0           0
          8               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          8               inst_executed_global_stores                             Warp level instructions for global stores           1           1           1
          8                inst_executed_local_stores                              Warp level instructions for local stores           0           0           0
          8               inst_executed_shared_stores                             Warp level instructions for shared stores           0           0           0
          8              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          8              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas           0           0           0
          8           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          8             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          8          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          8              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          8                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          8                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads          32          32          32
